hostnames,fpl_letter,fst_mass,fst_masserr1,fst_masserr2,fst_age,fst_ageerr1,fst_ageerr2,fst_met,fst_meterr1,fst_meterr2,fst_dist,fst_disterr1,fst_disterr2,Nss,Pnull,BIC1,rhoN,Phigh,HJflag,insamp,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_dens,fpl_denserr1,fpl_denserr2
11 Com,b,2.7,0.3,-0.3,-,-,-,-0.35,0.09,-0.09,93.37,1.92,-1.92,600,0.0003418255019342464,41.136712807852746,0.04447914726530624,1.336552754696928e-05,N,N,6165.6,476.7,-476.7,1.29,0.05,-0.05,326.03,0.32,-0.32,0.231,0.005,-0.005,12.1,-,-,19.1,-,-
11 UMi,b,2.78,0.69,-0.69,1.56,0.54,-0.54,-0.02,-,-,125.72,1.97,-1.97,600,2.4519580858479442e-06,103.00727615972869,3.2781003254152585,0.932355617964757,N,N,4684.8142,794.575,-794.575,1.53,0.07,-0.07,516.21997,3.2,-3.2,0.08,0.03,-0.03,12.3,-,-,13.8,-,-
14 And,b,2.2,0.1,-0.2,4.5,1.9,-1.9,-0.24,0.03,-0.03,75.59,0.71,-0.71,600,7.074100687409862e-07,136.5797499608634,0.015625079301416336,1.0854753415086915e-24,N,N,1525.5,-,-,0.83,-,-,185.84,0.23,-0.23,0.0,-,-,12.9,-,-,3.9,-,-
14 Her,b,0.9,0.04,-0.04,5.24,-,-,0.41,-,-,17.94,0.01,-0.01,600,1.4759919080413826e-05,116.488419317124,2.6201840464205457,0.8475107168541449,N,N,1481.0878,47.6745,-47.6745,2.93,0.08,-0.08,1773.40002,2.5,-2.5,0.37,0.0,0.0,12.9,-,-,3.79,-,-
16 Cyg B,b,1.08,0.04,-0.04,7.4,0.1,-0.1,0.06,-,-,21.15,0.01,-0.01,600,1.0151475927315593e-05,89.06011483133102,0.7655673247411723,0.4877697362639988,N,N,565.7374,25.4264,-25.4264,1.66,0.03,-0.03,798.5,1.0,-1.0,0.68,0.02,-0.02,13.5,-,-,1.26,-,-
18 Del,b,2.3,-,-,1.1,0.1,-0.1,-0.052000000000000005,0.023,-0.023,76.38,0.62,-0.62,600,4.932952944355065e-06,104.67418836723664,2.0413205663179057,0.9654219026175904,N,N,3273.5,-,-,2.6,-,-,993.3,3.2,-3.2,0.08,0.01,-0.01,12.5,-,-,9.21,-,-
24 Boo,b,0.99,0.19,-0.13,6.92,4.83,-2.75,-0.77,0.03,-0.03,96.25,0.64,-0.64,600,0.0007370778061511342,64.74649593915888,0.0011431334370363626,2.085660356172774e-15,Y,N,289.2253,41.3179,-31.783,0.19,0.012,-0.009,30.3506,0.0078,-0.0077,0.042,0.048,-0.029,13.9,-,-,0.592,-,-
24 Sex,b,1.54,0.08,-0.08,2.7,0.4,-0.4,-0.03,0.04,-0.04,72.21,0.68,-0.68,600,0.0024026524842782155,43.046946133212714,1.1694628148312605,0.8141206127127933,N,Y,632.46,82.63,-120.77,1.333,0.004,-0.009,452.8,2.1,-4.5,0.09,0.14,-0.06,13.4,-,-,1.44,-,-
24 Sex,c,1.54,0.08,-0.08,2.7,0.4,-0.4,-0.03,0.04,-0.04,72.21,0.68,-0.68,600,0.0005858622695172385,43.046946133212714,1.0032305106949893,0.7629802968038814,N,Y,273.32,111.24,-69.92,2.08,0.05,-0.02,883.0,32.4,-13.8,0.29,0.16,-0.09,13.9,-,-,0.559,-,-
2MASS J22362452+4751425,b,0.6,0.05,-0.05,0.12,0.01,-0.01,-,-,-,74.0,10.0,-10.0,600,0.00013136160510844022,99.34272656091412,3.4367309044295427,0.9690882919423693,N,N,3972.875,476.745,-476.745,230.0,20.0,-20.0,-,-,-,-,-,-,12.3,-,-,11.7,-,-
30 Ari B,b,1.93,0.27,-0.27,0.91,0.83,-0.83,0.19,-,-,44.71,0.1,-0.1,600,0.0002688464236596296,36.237353028578354,9.161697866715626,0.9734243623689953,N,N,4392.4106,572.094,-572.094,0.99,0.02,-0.02,335.10001,2.5,-2.5,0.29,0.09,-0.09,12.3,-,-,13.0,-,-
4 UMa,b,1.23,0.15,-0.15,4.604,2.0,-2.0,-0.25,0.04,-0.04,73.58,1.18,-1.18,600,8.39203906828706e-05,68.19555866905671,0.8935079805984795,0.7278465788131612,N,N,2256.5,508.5,-508.5,0.87,0.04,-0.04,269.3,1.96,-1.96,0.432,0.024,-0.024,12.7,-,-,6.05,-,-
42 Dra,b,0.98,0.05,-0.05,9.49,1.76,-1.76,-0.46,0.05,-0.05,90.86,1.32,-1.32,600,0.000590678145469852,78.81799391745835,0.017150847587181165,1.5087343387749702e-06,N,N,1233.13,270.14,-270.14,1.19,0.01,-0.01,479.1,6.2,-6.2,0.38,0.06,-0.06,13.0,-,-,3.08,-,-
47 UMa,b,1.03,0.05,-0.05,7.3,1.9,-1.9,0.0,0.07,-0.07,13.8,0.03,-0.03,600,0.00020053826423620984,73.71316111636997,3.321837618308277,0.9019669715980068,N,N,804.08,22.25,-19.07,2.1,0.02,-0.02,1078.0,2.0,-2.0,0.032,0.014,-0.014,13.2,-,-,1.92,-,-
47 UMa,c,1.03,0.05,-0.05,7.3,1.9,-1.9,0.0,0.07,-0.07,13.8,0.03,-0.03,600,0.0002105223546911199,73.71316111636997,3.4630237956971137,0.9034586205748418,N,N,171.621,20.976,-23.201,3.6,0.1,-0.1,2391.0,100.0,-87.0,0.098,0.047,-0.096,14.2,-,-,0.329,-,-
47 UMa,d,1.03,0.05,-0.05,7.3,1.9,-1.9,0.0,0.07,-0.07,13.8,0.03,-0.03,600,0.00010671100693027148,73.71316111636997,3.0544517569364,0.8983145620385877,N,N,521.22,92.17,-152.55,11.6,2.1,-2.9,14002.0,4018.0,-5095.0,0.16,0.09,-0.16,13.5,-,-,1.16,-,-
51 Peg,b,1.12,0.06,-0.06,4.0,2.5,-2.5,0.2,0.07,-0.07,15.47,0.03,-0.03,600,5.571011255292348e-06,111.72136903824025,0.8344217156702944,0.715853860598345,Y,Y,146.2018,19.0698,-3.1783,0.0527,0.003,-0.003,4.230785,3.6e-05,-3.6e-05,0.013,0.012,-0.012,14.3,-,-,0.275,-,-
55 Cnc,b,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,5.892125658847273e-05,84.34053901659036,6.558713659674568,0.9342740305708787,Y,N,263.9785,1.0488,-1.0488,0.115227,1e-06,-1e-06,14.65152,0.00015,-0.00015,0.0034,0.0032,-0.0032,13.9,-,-,0.54,-,-
55 Cnc,c,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,9.462489937192824e-05,84.34053901659036,6.880302044136793,1.0,Y,N,54.4738,1.748,-1.748,0.24137600000000003,2.6000000000000002e-05,-2.6000000000000002e-05,44.4175,0.0073,-0.0073,0.02,0.031,-0.031,8.51,-,-,0.486,-,-
55 Cnc,d,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,1.2097029871093459e-05,84.34053901659036,6.1843059480511045,0.9365129029830332,Y,N,1232.493,21.612,-21.612,5.503,0.03,-0.03,4825.0,39.0,-39.0,0.019,0.013,-0.013,13.0,-,-,3.08,-,-
55 Cnc,e,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,6.062752438021337e-05,84.34053901659036,8.514062235705248,0.9180118352381119,Y,N,8.08,0.31,-0.31,0.01544,9e-05,-9e-05,0.736539,7e-06,-7e-06,0.028,0.022,-0.019,1.91,0.08,-0.08,6.4,0.8,-0.7
55 Cnc,f,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,0.0002809847446007792,84.34053901659036,6.714708750149918,0.9332512736817363,Y,N,44.812,3.814,-3.814,0.788,0.001,-0.001,262.0,0.51,-0.51,0.305,0.075,-0.075,7.59,-,-,0.563,-,-
6 Lyn,b,1.44,-,-,2.353,0.21100000000000002,-0.21100000000000002,-0.1,0.02,-0.02,54.74,0.27,-0.27,600,6.579280308273667e-05,61.106344424583085,0.2225417676156314,0.02389886672248202,N,Y,638.8383,24.47291,-24.47291,2.11,0.11,-0.11,934.3,8.6,-8.6,0.073,0.036,-0.036,13.4,-,-,1.46,-,-
61 Vir,b,0.94,0.03,-0.03,8.96,2.76,-3.08,-0.01,-,-,8.51,0.02,-0.02,600,0.0002086238675082788,69.8884999261777,0.26393558674676865,0.128293544347126,N,N,5.1,0.5,-0.5,0.050200999999999996,5e-06,-5e-06,4.215,0.0006,-0.0006,0.12,0.11,-0.11,2.11,-,-,2.98,-,-
61 Vir,c,0.94,0.03,-0.03,8.96,2.76,-3.08,-0.01,-,-,8.51,0.02,-0.02,600,0.00029929844049867365,69.8884999261777,0.24229758752624067,0.10196277989732232,N,N,18.2,1.1,-1.1,0.2175,0.0001,-0.0001,38.021,0.034,-0.034,0.14,0.06,-0.06,4.46,-,-,1.13,-,-
61 Vir,d,0.94,0.03,-0.03,8.96,2.76,-3.08,-0.01,-,-,8.51,0.02,-0.02,600,1.904143556474352e-05,69.8884999261777,0.20879623028783836,0.0662643340711178,N,N,22.9,2.6,-2.6,0.476,0.001,-0.001,123.01,0.55,-0.55,0.35,0.09,-0.09,5.11,-,-,0.943,-,-
70 Vir,b,1.09,-,-,7.92,0.28,-0.16,-0.11,0.01,-0.01,17.91,0.06,-0.06,600,7.605093021896928e-05,88.60730425582142,0.23267588501221664,0.06452298764303763,N,N,2380.45,193.87,-193.87,0.481,0.022,-0.022,116.688,0.0054,-0.0054,0.3988,0.0019,-0.0019,12.6,-,-,6.54,-,-
75 Cet,b,2.49,0.02,-0.27,-,-,-,0.0,0.04,-0.04,83.15,0.72,-0.72,600,2.8537582736177578e-05,87.0797126240476,2.525976379023799,0.9780439223602296,N,N,953.49,-,-,2.1,-,-,691.9,3.6,-3.6,0.117,0.048,-0.048,13.1,-,-,2.33,-,-
8 UMi,b,1.44,0.19,-0.19,1.7,0.2,-0.2,-0.03,-,-,163.32,0.65,-0.65,600,7.534561689401269e-06,113.99661535390669,4.944944852279217,0.9251850245913377,N,Y,416.3573,50.8528,-50.8528,0.49,0.02,-0.02,93.4,4.5,-4.5,0.06,0.09,-0.09,13.6,-,-,0.91,-,-
81 Cet,b,2.4,0.1,-0.4,-,-,-,-0.06,0.03,-0.03,101.53,1.22,-1.22,600,0.0005072871053095676,93.0031098018435,2.8180463255377384,0.9840190756024106,N,N,1684.4,-,-,2.5,-,-,952.7,8.8,-8.8,0.206,0.029,-0.029,12.8,-,-,4.41,-,-
91 Aqr,b,1.4,0.1,-0.1,3.56,0.63,-0.63,-0.03,0.1,-0.1,44.08,0.51,-0.51,600,1.1061949960786512e-07,147.8650304699072,0.3299715732432689,0.1941881360932069,N,Y,1017.0,-,-,0.7,-,-,181.4,0.1,-0.1,0.027,0.026,-0.026,13.1,-,-,2.49,-,-
AB Pic,b,0.9,0.1,-0.1,0.03,-,-,-0.05,0.04,-0.04,50.12,0.07,-0.07,600,5.186572652793876e-05,73.37019680174399,9.559119130944662,1.0,N,N,4290.5,158.9,-158.9,260.0,-,-,-,-,-,-,-,-,12.3,-,-,12.7,-,-
BD+14 4559,b,0.49,0.33,-0.33,-,-,-,0.17,-,-,49.42,0.08,-0.08,600,0.00023307446885118598,66.31845387485896,0.6590064929130159,0.5294050272692615,N,N,330.5432,149.3801,-149.3801,0.78,0.05,-0.05,268.94,0.99,-0.99,0.29,0.03,-0.03,13.8,-,-,0.691,-,-
BD+15 2940,b,1.1,0.2,-0.2,7.1,4.2,-4.2,0.28,0.07,-0.07,431.61,6.55,-6.55,330,0.0006769254786487915,60.794080100777535,0.10587464618319348,2.1578241939097285e-05,N,N,352.78,-,-,0.539,-,-,137.48,0.34,-0.34,0.26,0.1,-0.1,13.7,-,-,0.754,-,-
BD+20 594,b,1.67,0.4,-0.4,3.34,1.95,-1.49,-0.15,-,-,180.39,1.25,-1.25,600,0.002579633527137687,51.426960577042564,0.258566552616183,0.16541126263649383,N,Y,22.2481,9.5349,-9.5349,0.241,0.019,-0.017,41.6855,0.003,-0.003,0.0,-,-,2.5780000000000003,0.11199999999999999,-0.11199999999999999,7.89,3.4,-3.1
BD+48 738,b,0.74,0.39,-0.39,-,-,-,-0.2,0.07,-0.07,892.17,44.78,-44.78,110,0.06640763630939574,13.908287496308589,3.7659706321792967,0.9579283182266001,N,N,289.2253,-,-,1.0,-,-,392.6,5.5,-5.5,0.2,0.1,-0.1,13.9,-,-,0.592,-,-
BD+48 740,b,1.09,0.16,-0.16,-,-,-,-0.13,0.06,-0.06,678.94,22.15,-22.15,269,0.004327428989483188,50.198518687050864,1.2306354393612466,0.9343756569482542,N,N,540.311,222.481,-222.481,1.7,0.1,-0.1,733.0,5.0,-8.0,0.76,0.05,-0.09,13.5,-,-,1.21,-,-
BD+49 828,b,1.52,0.22,-0.22,2.34,1.2,-0.8,-0.19,0.06,-0.06,447.59,7.79,-7.79,600,2.997159118556213e-10,216.97875245349337,2.7803322518312124,0.9764659991604474,N,Y,508.5,127.1,-63.6,4.2,0.32,-0.2,2590.0,300.0,-180.0,0.35,0.24,-0.1,13.5,-,-,1.14,-,-
BD-06 1339,b,0.7,-,-,4.4,4.0,-4.0,-0.14,0.17,-0.17,20.28,0.02,-0.02,600,1.5894963763223562e-05,76.3420448566635,0.9111976812379778,0.7931525329953903,N,Y,8.5,1.3,-1.3,0.0428,0.0007,-0.0007,3.8728,0.0004,-0.0004,0.0,-,-,2.85,-,-,2.02,-,-
BD-06 1339,c,0.7,-,-,4.4,4.0,-4.0,-0.14,0.17,-0.17,20.28,0.02,-0.02,600,2.1798914416626427e-05,76.3420448566635,0.8862171161395913,0.784008088542932,N,Y,53.0,8.0,-8.0,0.435,0.007,-0.007,125.94,0.44,-0.44,0.31,0.11,-0.11,8.38,-,-,0.495,-,-
BD-08 2823,b,0.5,0.26,-0.26,4.5,4.0,-4.0,-0.06,-,-,41.38,0.07,-0.07,600,6.389319120950492e-06,103.6975657849257,0.25169833822400356,0.13916801486122138,N,N,12.7132,3.1783,-3.1783,0.06,0.0,0.0,5.6,0.02,-0.02,0.15,0.15,-0.15,3.61,-,-,1.48,-,-
BD-08 2823,c,0.5,0.26,-0.26,4.5,4.0,-4.0,-0.06,-,-,41.38,0.07,-0.07,600,2.4129089404940393e-05,103.6975657849257,0.2924384070672309,0.22031566610566564,N,N,104.0,10.0,-10.0,0.68,0.02,-0.02,237.6,1.5,-1.5,0.19,0.09,-0.09,12.5,-,-,0.293,-,-
BD-10 3166,b,1.47,0.24,-0.24,1.0,2.0,-1.0,0.38,-,-,84.61,0.35,-0.35,600,0.0005375317451313214,49.11357502333408,0.5535595016392012,0.40656670452648164,Y,Y,187.5197,22.2481,-22.2481,0.04,0.0,0.0,3.48777,0.00011,-0.00011,0.02,0.02,-0.02,14.1,-,-,0.368,-,-
BD-13 2130,b,2.12,1.47,-1.47,0.74,0.2,-0.2,-0.08,-,-,948.75,42.93,-42.93,128,0.3889475178435088,-10.74257162142652,32.592311359316106,1.0,N,N,3108.3774,1449.3048,-1449.3048,1.66,0.12,-0.12,714.29999,5.3,-5.3,0.21,0.07,-0.07,12.5,-,-,8.75,-,-
BD-17 63,b,0.74,0.03,-0.03,4.3,4.0,-4.0,-0.03,0.06,-0.06,34.49,0.09,-0.09,600,0.0003978422076018614,88.9531538167671,0.25733635891786155,0.3091855467114523,N,Y,1620.9,38.14,-38.14,1.34,0.02,-0.02,655.6,0.6,-0.6,0.54,0.005,-0.005,12.8,-,-,4.25,-,-
CoRoT-11,b,1.27,0.05,-0.05,2.0,1.0,-1.0,-0.03,0.08,-0.08,560.0,30.0,-30.0,248,0.0025415939657664178,40.89963017726876,0.7186237172530228,0.6949573261707298,Y,N,740.51,108.06,-108.06,0.0436,0.005,-0.005,2.99433,1.1e-05,-1.1e-05,0.0,-,-,16.03,0.34,-0.34,0.99,0.15,-0.15
CoRoT-3,b,1.37,0.09,-0.09,2.2,0.6,-0.6,0.14,0.04,-0.04,680.0,160.0,-160.0,173,0.0011396786319434126,58.969611359775854,0.9717524866086769,0.9846548470452686,Y,N,6883.91,317.8,-317.8,0.05782999999999999,0.00085,-0.00085,4.2568,5e-06,-5e-06,0.0,-,-,11.32,0.78,-0.78,26.4,5.6,-5.6
CoRoT-7,b,0.82,0.17,-0.17,1.75,0.55,-0.55,0.05,-,-,160.64,0.91,-0.91,600,9.870064943755525e-05,84.66599547635406,1.77842131172588,0.9564272894622918,N,Y,3.1783,0.0,0.0,0.017016,0.00016999999999999999,-3.6e-05,0.85359163,1e-08,-1e-08,0.0,-,-,1.681,0.11199999999999999,-0.11199999999999999,6.61,1.33,-1.33
CoRoT-7,c,0.82,0.17,-0.17,1.75,0.55,-0.55,0.05,-,-,160.64,0.91,-0.91,600,6.877045004858262e-06,84.66599547635406,1.528801529116873,0.9469796977591732,N,Y,8.4,0.9,-0.9,0.046,-,-,3.698,0.003,-0.003,0.0,-,-,2.83,-,-,2.04,-,-
DMPP-1,b,1.21,0.03,-0.03,2.01,0.54,-0.54,-,-,-,62.0,1.0,-1.0,600,0.0005213972409156051,30.797269470320316,6.5502594084384365,0.9963987275571958,N,Y,24.27,1.16,-1.59,0.1462,0.0012,-0.0012,18.57,0.01,-0.01,0.083,-,-,5.29,-,-,0.901,-,-
DMPP-1,c,1.21,0.03,-0.03,2.01,0.54,-0.54,-,-,-,62.0,1.0,-1.0,600,0.0015439998679288415,30.797269470320316,6.383911519020226,0.9962567653841776,N,Y,9.6,0.53,-1.58,0.0733,0.0006,-0.0007,6.584,0.003,-0.002,0.057,-,-,3.06,-,-,1.84,-,-
DMPP-1,d,1.21,0.03,-0.03,2.01,0.54,-0.54,-,-,-,62.0,1.0,-1.0,600,2.1684161591411216e-05,30.797269470320316,6.000167070788748,0.9958869213414894,N,Y,3.35,0.38,-0.34,0.0422,0.0004,-0.0003,2.882,0.001,-0.001,0.07,-,-,1.65,-,-,4.1,-,-
DMPP-1,e,1.21,0.03,-0.03,2.01,0.54,-0.54,-,-,-,62.0,1.0,-1.0,600,0.0007703262952900083,30.797269470320316,6.334102529241912,0.9962122449337397,N,Y,4.13,0.66,-1.14,0.0651,0.0005,-0.0005,5.516,0.002,-0.004,0.07,-,-,1.86,-,-,3.53,-,-
DMPP-2,b,1.44,0.03,-0.03,2.0,0.3,-0.3,-,-,-,134.0,4.0,-4.0,600,3.6408549314277314e-05,105.26324843133023,2.9609137984991016,0.961599546126504,Y,Y,138.89171000000002,9.5349,-18.75197,0.0664,0.0005,-0.0005,5.2072,0.0002,-0.0055,0.078,-,-,14.3,-,-,0.261,-,-
DMPP-3 A,b,0.87,0.05,-0.05,10.9,4.7,-4.7,0.18,0.09,-0.09,48.9,0.6,-0.6,600,0.0013426153167112472,51.83374135821623,0.07662140329042581,0.00032951127006642983,N,N,2.58,0.35,-0.58,0.0662,0.0013,-0.0013,6.6732,0.0011,-0.0003,0.14,0.091,-0.053,1.41,-,-,5.06,-,-
DS Tuc A,b,1.01,0.06,-0.06,0.045,0.004,-0.004,0.0,-,-,44.12,0.07,-0.07,600,0.00016923643030381162,73.19670573993335,42.51028969663216,1.0,N,N,413.179,-,-,-,-,-,8.138268,1.1e-05,-1.1e-05,0.0,-,-,5.7,0.17,-0.17,-,-,-
K2-168,c,0.88,0.06,-0.03,-,-,-,-0.13,0.08,-0.08,245.56,4.19,-4.19,600,4.471079256610977e-05,107.34132988499312,1.0603190079926572,0.9421726962356829,N,N,2.27,-,-,-,-,-,8.050722,7.5e-05,-3.8e-05,-,-,-,1.31,0.14400000000000002,-0.063,5.55,-,-
EPIC 211945201,b,1.17,0.04,-0.04,3.99,0.85,-0.7,0.1,0.05,-0.05,182.69,1.29,-1.29,600,1.1907105475387527e-06,-1.037324343725004,0.11080796993310874,0.025640998858407465,N,Y,27.0,14.0,-12.6,0.1493,0.0015,-0.0015,19.49221,0.000666,-0.000653,0.0,-,-,5.76,0.3,-0.3,0.65,0.34,-0.3
EPIC 220674823,b,0.97,0.04,-0.04,5.0,-,-,0.13,0.06,-0.06,246.1,2.97,-2.97,600,1.815288410618732e-05,119.90360642569851,0.41097835723205234,0.3453649908508304,N,N,7.72,0.8,-0.79,0.0134,0.0002,-0.0002,0.571331,2e-05,-2.1e-05,0.0,-,-,1.82,0.1,-0.1,8.5,1.9,-1.9
EPIC 220674823,c,0.97,0.04,-0.04,5.0,-,-,0.13,0.06,-0.06,246.1,2.97,-2.97,600,0.00023158553619842737,119.90360642569851,0.40356709862443685,0.3296325776204165,N,N,5.8,3.3,-3.0,0.1091,0.0014,-0.0015,13.339079,0.00194,-0.001859,0.18,0.15,-0.12,2.73,0.18,-0.18,2.0,1.6,-1.1
EPIC 248847494,b,0.9,0.09,-0.09,-,-,-,-0.23,0.04,-0.04,560.0,13.0,-13.0,85,0.18248690845412696,5.76626091337593,0.3282173016997926,0.1899868696706718,N,N,4131.79,-,-,4.5,1.0,-1.0,3650.0,1280.0,-1130.0,0.0,-,-,12.442,0.785,-0.785,-,-,-
EPIC 249893012,b,1.05,0.05,-0.05,9.0,0.5,-0.6,0.2,0.05,-0.05,324.22,4.18,-4.18,600,4.843805940799727e-08,131.78757798823824,0.2349173925167054,0.05775687064493539,N,N,8.75,1.09,-1.08,0.047,0.005,-0.007,3.5951,0.0003,-0.0003,0.06,0.08,-0.04,1.95,0.09,-0.08,6.39,1.19,-1.04
EPIC 249893012,c,1.05,0.05,-0.05,9.0,0.5,-0.6,0.2,0.05,-0.05,324.22,4.18,-4.18,600,9.597188580255293e-09,131.78757798823824,0.2268413531932619,0.0494678022683103,N,N,14.67,1.84,-1.89,0.13,0.01,-0.02,15.624,0.001,-0.001,0.07,0.08,-0.05,3.67,0.17,-0.14,1.62,0.3,-0.29
EPIC 249893012,d,1.05,0.05,-0.05,9.0,0.5,-0.6,0.2,0.05,-0.05,324.22,4.18,-4.18,600,9.501538970851252e-08,131.78757798823824,0.2255625212180272,0.04822863663104257,N,N,10.18,2.46,-2.42,0.22,0.02,-0.04,35.747,0.005,-0.005,0.15,0.21,-0.11,3.94,0.13,-0.12,0.91,0.25,-0.23
GJ 1252,b,0.38,0.02,-0.02,-,-,-,0.1,0.1,-0.1,20.38,0.02,-0.02,600,8.065561033598563e-06,105.67390205807851,0.011043695165201225,2.3382615556072336e-11,N,N,2.09,0.56,-0.56,0.00916,0.0007599999999999999,-0.0007599999999999999,0.5182349,6.3e-06,-5e-06,0.0,-,-,1.193,0.07400000000000001,-0.07400000000000001,6.76,-,-
GJ 143,b,0.73,0.07,-0.07,3.8,3.7,-3.7,0.003,0.06,-0.06,16.33,0.01,-0.01,600,0.00019686379135482737,80.57705920944977,0.14531363389951144,0.015387332750792918,N,Y,22.7,2.2,-1.9,0.1915,0.0058,-0.0063,35.61253,0.0006,-0.00062,0.188,0.076,-0.078,2.61,0.17,-0.16,7.0,1.6,-1.3
GJ 15 A,b,0.38,0.05,-0.05,-,-,-,-0.34,0.09,-0.09,3.56,0.0,0.0,600,3.203788949406568e-06,104.08410852890438,2.203916630956357,0.9301765475494962,N,N,3.03,0.46,-0.44,0.072,0.003,-0.004,11.4407,0.0017,-0.0016,0.094,0.091,-0.065,1.55,-,-,4.47,-,-
GJ 15 A,c,0.38,0.05,-0.05,-,-,-,-0.34,0.09,-0.09,3.56,0.0,0.0,600,1.3379979241420919e-05,104.08410852890438,2.663747253127522,0.9414301735919433,N,N,36.0,25.0,-18.0,5.4,1.0,-0.9,7600.0,2200.0,-1700.0,0.27,0.28,-0.19,6.67,-,-,0.667,-,-
GJ 160.2,b,0.69,-,-,-,-,-,-,-,-,25.88,0.04,-0.04,600,0.00019400303593152736,30.07433603526556,0.02187318153632241,2.4038661562664614e-05,N,N,10.2,7.2,-5.9,0.053,0.004,-0.007,5.2354,0.0027,-0.0065,0.06,0.2,-0.06,3.17,-,-,1.76,-,-
GJ 180,b,0.43,-,-,-,-,-,-,-,-,11.94,0.0,0.0,600,3.0374715508785874e-05,76.7297355979465,0.27512617282380036,0.10471269653761908,N,N,6.49,0.68,-0.68,0.092,0.003,-0.003,17.133,0.003,-0.003,0.07,0.04,-0.04,2.43,-,-,2.49,-,-
GJ 180,c,0.43,-,-,-,-,-,-,-,-,11.94,0.0,0.0,600,0.00045678942913378594,76.7297355979465,0.28287670572180257,0.1143999473280545,N,N,6.4,3.7,-4.1,0.129,0.007,-0.017,24.329,0.052,-0.066,0.09,0.2,-0.09,2.41,-,-,2.51,-,-
GJ 180,d,0.43,-,-,-,-,-,-,-,-,11.94,0.0,0.0,600,9.613021890474754e-05,76.7297355979465,0.267391416849401,0.09545986609052642,N,N,7.56,1.07,-1.07,0.309,0.01,-0.01,106.3,0.129,-0.129,0.14,0.04,-0.04,2.66,-,-,2.21,-,-
GJ 229,c,0.58,-,-,0.4,-,-,-,-,-,5.76,0.0,0.0,600,7.73059581759512e-05,74.76767470813411,2.5667397218383012,0.9632706008264125,N,N,7.268,1.256,-1.256,0.339,0.011,-0.011,121.995,0.161,-0.161,0.19,0.08,-0.08,2.6,-,-,2.27,-,-
GJ 229,b,0.58,-,-,0.4,-,-,-,-,-,5.76,0.0,0.0,600,3.621662750898409e-05,74.76767470813411,2.606343050138991,0.9639848781139071,N,N,8.478,2.033,-2.033,0.898,0.031,-0.031,526.115,4.3,-4.3,0.1,0.06,-0.06,2.85,-,-,2.01,-,-
GJ 27.1,b,0.53,-,-,-,-,-,-,-,-,23.62,0.03,-0.03,600,0.0002074085260394476,81.39508870217423,0.960731850905869,0.840339407963532,N,N,13.0,4.1,-6.6,0.101,0.009,-0.013,15.819,0.023,-0.026,0.08,0.18,-0.08,3.66,-,-,1.46,-,-
GJ 3021,b,0.9,-,-,0.37,-,-,0.1,0.08,-0.08,17.56,0.01,-0.01,600,0.0001467995174069299,78.17676104520547,2.6144010852037995,0.9596336620220035,N,N,1071.04,28.6,-28.6,0.49,-,-,133.71,0.2,-0.2,0.511,0.017,-0.017,13.1,-,-,2.62,-,-
GJ 3082,b,0.47,-,-,-,-,-,-,-,-,16.63,0.01,-0.01,600,1.1533184575744325e-05,92.08610026588167,0.7774520265422744,0.7680650866132108,N,N,8.2,1.7,-1.7,0.079,0.003,-0.003,11.949,0.022,-0.022,0.22,0.11,-0.11,2.79,-,-,2.07,-,-
GJ 3138,b,0.68,-,-,-,-,-,-0.3,0.12,-0.12,28.49,0.03,-0.03,600,0.00011992281899940011,48.862624922192026,0.32859394686664645,0.30909078612574986,N,N,1.78,0.34,-0.33,0.0197,0.0005,-0.0005,1.22003,6e-05,-4e-05,0.19,0.18,-0.13,1.18,-,-,5.95,-,-
GJ 3138,c,0.68,-,-,-,-,-,-0.3,0.12,-0.12,28.49,0.03,-0.03,600,0.0011040667168517918,48.862624922192026,0.394975570886221,0.42770624577079264,N,N,4.18,0.61,-0.59,0.057,0.001,-0.001,5.974,0.001,-0.001,0.11,0.11,-0.07,1.88,-,-,3.46,-,-
GJ 3138,d,0.68,-,-,-,-,-,-0.3,0.12,-0.12,28.49,0.03,-0.03,600,0.0002552840884424424,48.862624922192026,0.3529087502487234,0.35378149646556134,N,N,10.5,2.3,-2.1,0.698,0.018,-0.019,257.8,3.6,-3.5,0.32,0.2,-0.21,3.23,-,-,1.71,-,-
