hostnames,fpl_letter,fst_mass,fst_masserr1,fst_masserr2,fst_age,fst_ageerr1,fst_ageerr2,fst_met,fst_meterr1,fst_meterr2,fst_dist,fst_disterr1,fst_disterr2,Nss,Pnull,BIC1,rhoN,Phigh,HJflag,insamp,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_dens,fpl_denserr1,fpl_denserr2
K2-136,b,0.74,0.02,-0.02,0.688,0.063,-0.063,0.15,0.03,-0.03,59.35,0.19,-0.19,600,4.915808793562119e-05,45.174634706465895,375.4925047738513,1.0,N,N,0.937,-,-,-,-,-,7.975292,0.000833,-0.00077,0.1,0.19,-0.07,0.99,0.06,-0.04,5.31,-,-
K2-136,c,0.74,0.02,-0.02,0.688,0.063,-0.063,0.15,0.03,-0.03,59.35,0.19,-0.19,600,4.073126053087355e-06,45.174634706465895,362.9659951690932,1.0,N,N,8.8,-,-,0.11728,0.00047999999999999996,-0.00047999999999999996,17.307137,0.000252,-0.000284,0.13,0.27,-0.11,2.91,0.11,-0.1,1.96,-,-
K2-136,d,0.74,0.02,-0.02,0.688,0.063,-0.063,0.15,0.03,-0.03,59.35,0.19,-0.19,600,0.00011264211397625587,45.174634706465895,357.3695127936128,1.0,N,N,2.7,-,-,-,-,-,25.575065,0.002418,-0.002357,0.14,0.13,-0.09,1.45,0.11,-0.08,4.87,-,-
K2-138,b,0.93,0.06,-0.06,-,-,-,0.16,0.04,-0.04,183.0,17.0,-17.0,600,4.1271822601329466e-06,162.8841385533508,3.0848325551591578,0.9640679444720702,N,N,3.09,-,-,0.0338,0.00023999999999999998,-0.00023999999999999998,2.35322,0.00036,-0.00036,0.403,-,-,1.57,0.28,-0.17,4.39,-,-
K2-138,c,0.93,0.06,-0.06,-,-,-,0.16,0.04,-0.04,183.0,17.0,-17.0,600,0.0008757554130814915,162.8841385533508,3.1309525380131853,0.963839960989005,N,N,6.9,-,-,0.044539999999999996,0.00032,-0.00032,3.55987,0.00023,-0.00022,0.296,-,-,2.52,0.34,-0.16,2.37,-,-
K2-138,d,0.93,0.06,-0.06,-,-,-,0.16,0.04,-0.04,183.0,17.0,-17.0,600,2.8815134428155243e-07,162.8841385533508,2.893007341126788,0.9649078227345683,N,N,7.56,-,-,0.05882999999999999,0.00042,-0.00042,5.40478,0.00048,-0.00046,0.348,-,-,2.66,0.39,-0.18,2.21,-,-
K2-138,e,0.93,0.06,-0.06,-,-,-,0.16,0.04,-0.04,183.0,17.0,-17.0,600,9.964437112522538e-07,162.8841385533508,3.4543231370249847,0.9619860773848113,N,N,10.8,-,-,0.07807,0.00056,-0.00056,8.26144,0.00045,-0.00044,0.315,-,-,3.29,0.35,-0.18,1.67,-,-
K2-138,f,0.93,0.06,-0.06,-,-,-,0.16,0.04,-0.04,183.0,17.0,-17.0,600,3.314203122812428e-05,162.8841385533508,3.0782036882766315,0.9640999144391763,N,N,8.3,-,-,0.1043,0.00074,-0.00075,12.75759,0.00092,-0.00092,0.364,-,-,2.81,0.36,-0.19,2.06,-,-
K2-139,b,0.96,0.02,-0.02,1.8,0.3,-0.3,0.24,0.05,-0.05,154.6,0.94,-0.94,600,0.00018771139585509644,69.32619102337924,1.9405045796857974,0.9265997796885298,Y,Y,123.00021000000001,26.379890000000003,-23.83725,0.1796,0.0015,-0.0015,28.380619,0.000551,-0.000528,0.12,0.12,-0.08,9.11,0.17,-0.17,0.91,0.24,-0.2
K2-140,b,1.0,0.02,-0.02,4.22,0.95,-0.95,0.13,0.04,-0.04,341.6,5.5,-5.1,596,2.4168947837146548e-05,111.48151738319837,3.0972805211560646,0.9810886323257549,Y,Y,323.86877000000004,22.2481,-22.2481,0.0687,0.0005,-0.0005,6.56918,4e-05,-4e-05,0.12,0.056,-0.046,12.25,0.17,-0.17,0.963,0.082,-0.082
K2-141,b,0.71,0.03,-0.03,6.3,6.6,-4.7,-0.06,0.08,-0.1,61.98,0.17,-0.17,600,8.554383580801286e-05,93.40486684697817,2.7810281784860025,0.9566484496947182,N,N,5.08,0.41,-0.41,0.00716,0.00055,-0.00065,0.2803244,1.5e-06,-1.5e-06,0.0,-,-,1.51,0.05,-0.05,8.2,1.1,-1.1
K2-141,c,0.71,0.03,-0.03,6.3,6.6,-4.7,-0.06,0.08,-0.1,61.98,0.17,-0.17,600,0.00013466967210443268,93.40486684697817,2.5833600012696065,0.9539949034899823,N,N,7.4,-,-,-,-,-,7.7485,0.00022,-0.00022,0.0,-,-,7.0,4.6,-2.8,-,-,-
K2-147,b,0.58,0.06,-0.06,-,-,-,0.19,0.12,-0.12,88.0,13.0,-13.0,600,0.00022708919464338394,69.43105961882736,0.3850111731476428,0.1462904940529235,N,N,2.48,-,-,0.0159,0.0005,-0.0005,0.961917,2.6e-05,-2.6e-05,-,-,-,1.38,0.17,-0.15,5.19,-,-
K2-148,b,0.65,0.06,-0.06,-,-,-,-0.11,0.12,-0.12,121.0,19.0,-19.0,600,1.7598558609463967e-06,108.60623109263133,2.238665663091656,0.9660122184405805,N,N,2.33,-,-,0.0454,0.0014,-0.0014,4.38395,0.0008,-0.0008,-,-,-,1.33,0.19,-0.18,5.44,-,-
K2-148,c,0.65,0.06,-0.06,-,-,-,-0.11,0.12,-0.12,121.0,19.0,-19.0,600,6.405396301739684e-05,108.60623109263133,2.3550174064510276,0.9674161847593297,N,N,3.64,-,-,0.0616,0.0019,-0.0019,6.9226,0.0007,-0.0007,-,-,-,1.73,0.24,-0.21,3.86,-,-
K2-148,d,0.65,0.06,-0.06,-,-,-,-0.11,0.12,-0.12,121.0,19.0,-19.0,600,8.218226539857001e-06,108.60623109263133,2.0389516363924622,0.9629641893615947,N,N,3.33,-,-,0.0774,0.0024,-0.0024,9.7579,0.001,-0.001,-,-,-,1.64,0.24,-0.21,4.15,-,-
K2-151,b,0.47,0.01,-0.01,-,-,-,-0.19,0.07,-0.07,69.61,0.15,-0.15,600,0.0012706448953070616,68.19494319997852,0.10546507736398723,0.003273335949485435,N,N,2.83,-,-,0.0373,0.0002,-0.0002,3.835476,0.000266,-0.000256,-,-,-,1.49,0.08,-0.08,4.7,-,-
K2-152,b,0.63,0.01,-0.01,-,-,-,0.12,0.09,-0.08,108.7,0.4,-0.4,600,0.0053962784716151775,40.030170199313034,3.0806145920237533,0.9294523582195902,N,N,5.86,-,-,0.1716,0.0012,-0.0012,32.6479,0.01141,-0.01483,-,-,-,2.29,0.25,-0.24,2.68,-,-
K2-154,b,0.65,0.02,-0.01,-,-,-,0.21,0.09,-0.1,129.8,0.4,-0.4,600,4.4075818112035576e-05,63.0111272931797,1.5250851228382067,0.8760312433323284,N,N,4.62,-,-,0.0405,0.0003,-0.0003,3.67626,0.0003,-0.00031,-,-,-,1.99,0.21,-0.11,3.22,-,-
K2-154,c,0.65,0.02,-0.01,-,-,-,0.21,0.09,-0.1,129.8,0.4,-0.4,600,6.921637991844083e-05,63.0111272931797,1.4029712291043848,0.8575024096043378,N,N,4.94,-,-,0.0677,0.0005,-0.0005,7.95486,0.00084,-0.00085,-,-,-,2.07,0.18,-0.13,3.06,-,-
K2-155,b,0.65,0.06,-0.03,-,-,-,-0.3,0.2,-0.2,82.0,29.0,-12.0,600,2.8540044843211536e-05,54.672435413052426,0.0798394251726328,0.0030189483112317136,N,N,3.89,-,-,0.0562,0.0013,-0.0014,6.342,0.002,-0.002,-,-,-,1.8,0.2,-0.1,3.67,-,-
K2-155,c,0.65,0.06,-0.03,-,-,-,-0.3,0.2,-0.2,82.0,29.0,-12.0,600,8.540699010339333e-05,54.672435413052426,0.0920949067880246,0.00518256927383155,N,N,7.27,-,-,0.0946,0.0031,-0.003,13.85,0.006,-0.006,-,-,-,2.6,0.7,-0.2,2.27,-,-
K2-155,d,0.65,0.06,-0.03,-,-,-,-0.3,0.2,-0.2,82.0,29.0,-12.0,600,2.6020708986813175e-05,54.672435413052426,0.07498291362496651,0.00236848658578578,N,N,4.27,-,-,0.1937,0.0064,-0.0059,40.718,0.005,-0.005,-,-,-,1.9,0.7,-0.2,3.42,-,-
K2-156,b,0.66,0.02,-0.01,-,-,-,-0.25,0.06,-0.06,150.4,1.0,-1.0,600,1.6381130748579133e-05,118.3865165314653,0.26865687129732385,0.2130085445774872,N,N,1.6,-,-,0.0149,0.0001,-0.0001,0.81314,7e-05,-8e-05,-,-,-,1.15,0.1,-0.07,5.78,-,-
K2-157,b,0.94,0.02,-0.03,-,-,-,0.13,0.08,-0.08,300.88,4.56,-4.56,600,2.140172971779349e-07,146.9122043215035,0.047543969267597234,6.878024538613308e-06,N,N,1.18,-,-,-,-,-,0.365257,2.9e-05,-2.9e-05,-,-,-,1.055,0.147,-0.098,5.51,-,-
K2-158,b,0.92,0.03,-0.02,-,-,-,0.07,0.07,-0.07,198.2,2.1,-2.1,600,4.2364865883912446e-05,89.34367766249841,0.21845939947688567,0.011270421481147083,N,N,7.46,-,-,0.0887,0.0008,-0.0008,10.06049,0.00134,-0.00148,-,-,-,2.64,0.16,-0.1,2.23,-,-
K2-158,c,0.92,0.03,-0.02,-,-,-,0.07,0.07,-0.07,198.2,2.1,-2.1,600,7.80950661499503e-07,89.34367766249841,0.21323904970038735,0.009986528703058101,N,N,2.18,-,-,0.0622,0.0006,-0.0006,5.90279,0.00191,-0.00233,-,-,-,1.28,0.13,-0.1,5.71,-,-
K2-159,b,0.9,0.02,-0.03,-,-,-,-0.07,0.06,-0.06,171.9,1.4,-1.3,600,0.0001620034805455748,96.35322718718066,2.109318188611923,0.9370255305667898,N,N,5.73,-,-,0.1013,0.0008,-0.0009,12.42205,0.0018,-0.00182,-,-,-,2.26,0.17,-0.11,2.73,-,-
K2-160,b,0.98,0.02,-0.03,-,-,-,0.07,0.08,-0.08,318.19,4.5,-4.5,600,7.988805206402717e-07,129.75265896537985,2.9938036545695277,0.9532512979344148,N,N,10.2,-,-,-,-,-,3.705871,7.4e-05,-7.6e-05,-,-,-,3.178,0.214,-0.145,1.75,-,-
K2-162,b,0.75,0.02,-0.02,-,-,-,-0.17,0.05,-0.06,125.1,0.6,-0.6,600,0.00018256226644640188,70.83177136296331,0.3206559453572678,0.04359646892490723,N,N,2.67,-,-,0.0795,0.0006,-0.0006,9.45889,0.00104,-0.00107,-,-,-,1.44,0.11,-0.07,4.91,-,-
K2-163,b,0.83,0.02,-0.02,-,-,-,0.14,0.08,-0.08,209.67,4.18,-4.18,600,1.4683782776196297e-06,115.30154618611994,0.23553662245247542,0.024789582988795005,N,N,6.65,-,-,-,-,-,6.673117,0.000316,-0.000303,-,-,-,2.4659999999999997,0.257,-0.124,2.44,-,-
K2-164,b,1.18,0.09,-0.06,-,-,-,-0.23,0.08,-0.08,379.64,7.66,-7.66,362,0.016242871623090332,38.76691763058352,1.9966264719713018,0.9567216947175992,N,N,10.6,-,-,-,-,-,17.355066,0.004097,-0.003808,-,-,-,3.2489999999999997,0.515,-0.413,1.7,-,-
K2-165,b,0.83,0.03,-0.03,-,-,-,-0.05,0.08,-0.08,135.1,1.19,-1.19,600,2.317056614584507e-06,114.83069162495144,1.585904836909133,0.9008574327341011,N,N,2.17,-,-,-,-,-,2.354992,0.000246,-0.000261,-,-,-,1.274,0.145,-0.09699999999999999,5.76,-,-
K2-165,c,0.83,0.03,-0.03,-,-,-,-0.05,0.08,-0.08,135.1,1.19,-1.19,600,0.00033309474184986933,114.83069162495144,1.631396840003031,0.9035941102574316,N,N,3.03,-,-,-,-,-,4.382745,0.000514,-0.000536,-,-,-,1.554,0.209,-0.11,4.44,-,-
K2-165,d,0.83,0.03,-0.03,-,-,-,-0.05,0.08,-0.08,135.1,1.19,-1.19,600,0.0007597072444373234,114.83069162495144,1.696706199667059,0.907121635236806,N,N,7.5,-,-,-,-,-,14.101361,0.001146,-0.001065,-,-,-,2.648,0.253,-0.14800000000000002,2.22,-,-
K2-167,b,1.02,0.12,-0.09,-,-,-,-0.45,0.08,-0.08,81.08,0.47,-0.47,600,4.4599799911591986e-05,99.80874664302758,0.8392533956476209,0.8854404179156843,N,N,8.34,-,-,-,-,-,9.977481,0.001039,-0.001007,-,-,-,2.819,0.519,-0.45299999999999996,2.05,-,-
K2-168,b,0.88,0.06,-0.03,-,-,-,-0.13,0.08,-0.08,245.56,4.19,-4.19,600,1.068485456361928e-05,107.34132988499312,1.0545366709546804,0.9415221867611064,N,N,4.12,-,-,-,-,-,15.8523,0.0025,-0.0012,-,-,-,1.86,0.24,-0.11,3.52,-,-
K2-169,b,0.99,0.03,-0.03,-,-,-,0.26,0.08,-0.08,237.35,4.63,-4.63,600,5.027428528037811e-08,155.91687632691628,1.013626799973804,0.9157911880553051,N,N,2.16,-,-,-,-,-,6.380803,0.000778,-0.000699,-,-,-,1.273,0.107,-0.077,5.75,-,-
K2-17,b,0.71,0.02,-0.05,-,-,-,0.15,0.09,-0.22,125.56,0.66,-0.66,600,0.000720016971304766,59.73932315802108,3.3195677092854012,0.9415761553455477,N,N,5.6,-,-,0.119,0.002,-0.002,17.96753,0.00152,-0.00152,0.18,0.201126,-0.152247,2.23,0.2,-0.2,2.77,-,-
K2-170,b,0.96,0.03,-0.03,-,-,-,-0.11,0.08,-0.08,397.26,6.49,-6.49,442,2.224612386670653e-05,96.14214531626959,2.4930980188016507,0.9764807744046083,N,N,2.6,-,-,-,-,-,7.576544,0.001841,-0.00169,-,-,-,1.4180000000000001,0.20199999999999999,-0.131,5.01,-,-
K2-170,c,0.96,0.03,-0.03,-,-,-,-0.11,0.08,-0.08,397.26,6.49,-6.49,442,2.224612386670653e-05,96.14214531626959,2.4930980188016507,0.9764807744046083,N,N,3.9,-,-,-,-,-,12.400047,0.001735,-0.001883,-,-,-,1.8019999999999998,0.245,-0.158,3.66,-,-
K2-171,b,0.89,0.06,-0.03,-,-,-,-0.09,0.08,-0.08,616.41,18.68,-18.68,137,0.08973607974724022,10.58315046741859,0.44376361083284377,0.2636867585485617,N,N,7.69,-,-,-,-,-,5.628466,0.001731,-0.001519,-,-,-,2.687,0.4,-0.332,2.18,-,-
K2-172,b,0.93,0.03,-0.03,-,-,-,-0.06,0.08,-0.08,251.51,2.93,-2.93,600,1.1616037643063988e-06,109.94930833086948,0.2861552802053472,0.07856778874834276,N,N,3.42,-,-,-,-,-,14.316941,0.001445,-0.001411,-,-,-,1.666,0.16,-0.095,4.06,-,-
K2-172,c,0.93,0.03,-0.03,-,-,-,-0.06,0.08,-0.08,251.51,2.93,-2.93,600,1.9992711322740963e-07,109.94930833086948,0.2861902811347984,0.0786116632414676,N,N,10.4,-,-,-,-,-,29.62682,0.001555,-0.001607,-,-,-,3.2060000000000004,0.18899999999999997,-0.139,1.73,-,-
